comment,aspect,published_at
Aiya mekeng unsuccessfully transaction amount eka kohamada cash back ganne,"Transaction, Payments and Accounts",2022-07-14T14:28:13Z
"@Chanux Bro

what is the best app for payment in Sri Lanka 
example :-  Solo app (or) Q+ app (or) wepay

Can you explain the differences between them?","Transaction, Payments and Accounts",2022-03-04T11:49:26Z
Credit cards couldn't add... I tried several times and different cards...,Loans and Credit Services,2021-06-17T14:57:21Z
This is the best digital wallet I have used in Sri lanka. Has made payments 100 times easier by HNB.,"Transaction, Payments and Accounts",2021-03-02T16:58:50Z
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,"Transaction, Payments and Accounts",2021-02-22T01:08:36Z
The application is not in App Store for iPhones,Digital Banking Experience,2021-02-21T00:12:07Z
HNB account එකක් නැතුව වෙන bank account  එකක්  ඕකට ඇඩ් කරලා payment කරාම එයාලා අපේ account eken ගානක් කපා ගනීද.😥,"Transaction, Payments and Accounts",2021-02-20T02:55:08Z
"One of the the best app I got
So many offers & easy payment methods
Best wallet app ❤️",Digital Banking Experience,2021-02-20T01:03:21Z
Please share a video Corporate Net banking for how to login for new user,Digital Banking Experience,2023-11-18T03:40:22Z
Yes it is useful. But also say how  to get a  pdf receipt  after making a fund Transfer,"Transaction, Payments and Accounts",2023-01-16T14:02:38Z
Bro already use pannirunthan aana ippo marupadiyum install Panna user name wrong nu solluthu,Digital Banking Experience,2022-05-13T04:40:37Z
Hnb very good mobile app,Digital Banking Experience,2022-04-25T07:20:34Z
Hnb digital banking or comb bank ithila ethu best?,Digital Banking Experience,2022-03-30T03:29:43Z
Online moolam hnb bank account create pannalama,Digital Banking Experience,2021-11-29T09:17:27Z
How Can I change my registered mobile number to a new number ?should I visit the bank or can I do it online?,Digital Banking Experience,2021-11-09T16:02:37Z
bro debit card pin enga iruku..im a new user..so edhunu puriyamatengudhu..urgentt pls rply bro,Loans and Credit Services,2021-10-29T07:56:10Z
Card ille bro en uncle eranthutaru card ille but avaru card edukala so acount online banking edukalama,Digital Banking Experience,2021-09-01T01:15:59Z
Please tell how to transfer fund from HNB savings account to HNB credit card through Digital Banking App .,"Transaction, Payments and Accounts",2021-07-31T12:04:44Z
bro how to use from laptop with same user and password coz i yey its not working please can you advise,Digital Banking Experience,2021-07-02T21:34:05Z
bro showing debit frozen?,Loans and Credit Services,2021-06-27T17:55:58Z
brother HNB Digital Banking la irundhu Commerial or Boc Bank Account ku Cash Tranfer Panna Mudiuma,Digital Banking Experience,2021-06-14T06:29:36Z
"Hi anna, itha use panni indian bank accountuku money send pannalama ?? Plz reply or foreign accountuku(india) money eppidi transfer pannrathunu explain pannunga....Tq","Transaction, Payments and Accounts",2021-06-11T15:02:54Z
"Hi bro
Nanum hnb digital banking app than use pannuran.
Entha apps a oru account madduma use panna mudiyum",Digital Banking Experience,2021-06-05T13:12:17Z
It’s good but can’t understand tamil 😕💔😂,Others,2021-06-03T18:07:37Z
Please do it for NSB bank,Others,2021-05-29T03:55:41Z
Can pay another banks Credit card payment by hnb online,"Transaction, Payments and Accounts",2021-05-26T17:06:04Z
Anna bank cheque ah paththi sollunga anna,Loans and Credit Services,2021-05-26T10:01:22Z
Best money transfer app paththi podunga bro,Digital Banking Experience,2021-05-23T03:41:59Z
Com bank online banking patri Oru video poadunga bro,Digital Banking Experience,2021-05-22T16:03:24Z
Online Bank Fund Transfer video ondu podunga bro,Digital Banking Experience,2021-05-22T15:28:53Z
Wrong account number sending money how to refund,"Transaction, Payments and Accounts",2024-03-06T15:25:13Z
"Account preference kiyala, View and transact option eka on wenne nh",Loans and Credit Services,2023-10-01T06:31:03Z
අවුරුද්දකට කීයක් chage කරනවද  online banking වලට බැංකුවෙන්.,Digital Banking Experience,2023-09-11T15:44:07Z
Thank you for guiding us on how to withdraw from the ATM ❤,"Transaction, Payments and Accounts",2024-02-02T14:00:16Z
Brother Can you say please how to change username in mobile banking app in HNB newly.,Digital Banking Experience,2023-10-31T03:35:57Z
HNB bank mobile number change sigrathu eppdi,Digital Banking Experience,2023-01-25T13:37:49Z
Brother fund transfer panni unsuccessful endu wandhaa enna seirai then money vetti pattu iki,"Transaction, Payments and Accounts",2022-12-02T07:56:39Z
Bro card ille only bank pasbok tha irku atha epdi cennect panne mudima,Loans and Credit Services,2021-09-01T01:41:32Z
