comment,aspect,published_at
Mine 62k limit 😊,Transactions and Payments,2024-03-27T07:16:44Z
Mere pass v hai😅 but limit 97k ka hai..,Trust and Security,2024-03-14T08:08:04Z
Selamat datang di dunia intenasional dan domestik hsbc Manulife,Trust and Security,2024-04-30T12:45:59Z
"Me quitan de mi pencion $1400 por casi 7 meses y ya cambie de banco, pero HSBC depicito 1 peso🥲🥲🥲 mañana voy a la fiscalia.",Trust and Security,2024-05-01T16:37:31Z
"A mí me acaba de pasar que desapareció mi dinero que tenía en una cuenta flexible del banco HSBC 😮, me dicen que tengo que ir al banco a solucionar ese problema, pero ya me asuste si es que me llegan a robar ese dinero, es muchito😢",Trust and Security,2024-04-25T19:20:01Z
"""Cuenca"" me hizo lo mismo hace como 6 meses, por unos cobros segun del 2021 jaja",Transactions and Payments,2024-04-23T01:43:08Z
"Eso pasa por todos los bancos, es normal que haya habido un tema con el autorizador",Trust and Security,2024-04-17T18:10:54Z
"A mi paso con banamex, hize una compra de 3000 y hasta ahorita nobme ha cobrado",Transactions and Payments,2024-02-14T01:11:03Z
Yo ni uso la tarjeta es de nomina y tengo -150,Digital Banking Experience,2024-02-13T21:01:07Z
A mi me cobraron membresía sin límite aún habiendo realizado mis compras para saltar esa comisión,Digital Banking Experience,2024-02-13T01:33:56Z
A mí me quitaron 2000 pesos y lo que compré no era ni ese monto llamo y llamo y no contestan,Customer Support,2024-02-11T00:36:39Z
"Revisen bien sus ingresos y gastos, yo siempre voy validando que efectivamente me descuenten lo que es, efectivamente un pago del 31 de diciembre no se reflejo sino hasta el 2 de febrero. Todo me coincide",Customer Support,2024-02-10T17:53:56Z
"Asi es las compras que se hicieron en esas fechas se cobraron en tiempo y forma, en la aplicacion de hsbc se quedaron esas compras en ""proceso"" de cobro durante mas de 15 dias, pero aun asi ya estaba descontado del saldo disponible, el mismo banco mediante call center menciona que si en un lapso den15 dias esos cargos en ""proceso"" no se aplican, se te debe de reintegrar el dinero a tu saldo cosa que no hicieron chequenlo en sus estados de cuenta y metan su queja a la condusef yo ya lo hice",Customer Support,2024-02-09T04:24:06Z
"Yo hize una sola compra de $1537 me la cobraron en diciembre, y yo abone esa misna cantidad a mi cuenta para tener mi saldo mínimo y ahora resulta que me la vuelven a cobrar, y lo peor que el movimiento de diciembre lo borraron de mi aplicación y estsdo de cuenta no aparece, ¿Como reclamo?",Digital Banking Experience,2024-02-08T18:56:24Z
"Justo me acaba de ocurrir no es mucho el monto que son de 400$ pero recibo mi nómina y ahora se me va a descontar ese dinero, la verdad me saqué de onda, que podría hacer en estos casos? Ya que es un cargo doble por qué no me devolvieron ningún dinero y me cobran ahora ese monto",Trust and Security,2024-02-08T09:36:18Z
Voy a cancelar mi cuenta de HSBC,Digital Banking Experience,2024-02-08T02:30:10Z
Porquería de banco seguro los hackearon o perdieron los datos... Deben de multarlos,Trust and Security,2024-02-08T02:17:09Z
Porquería de banco seguro los hackearon o perdieron los datos... Deben de multarlos,Trust and Security,2024-02-08T02:16:37Z
"A mi me quitaron 600 y mi cuenta está en -400 diciendo que me descontaron compras del 28 dic al 01 de enero. En mis estados de cuenta no tengo ninguna compra en esas fechas. Además mis compras desde septiembre se procesan muchos días después de que las hice entonces ninguna cuadra en las fechas de los estados de cuenta. 
Alguien puede orientarme para saber que es lo que me están cobrando? No se que hacer",Trust and Security,2024-02-08T01:34:54Z
"La semana pasada El viernes 26 de enero se me desapareció de mi tarjeta de débito nómina HSBC 500 pesos y ahora no se que hacer ya que en mis movimientos no aparece un cobro o un cargo domiciliado, ya que sin ningún movimiento no se puede reportar como cargo no reconocido porque no hay ningúna dispocisión de efectivo y mucho menos una compra osea no se refleja ningún movimiento de esos 500 pesos que se me desaparecio",Digital Banking Experience,2024-02-08T01:19:46Z
