Comment,Aspect,Date,model_score,lexicon_score,final_score
අපි දෙනව 500000/=ට10000/=මාසිකව..,Transactions and Payments,2025-05-07T18:49:48Z,0.704587996006012,0.0,0.4932115972042083
ඔයිට වඩා LB එකේ දෙනවනෙ.,Transactions and Payments,2025-05-07T16:42:00Z,0.6538350582122803,0.0,0.45768454074859616
ඔය. පෝලීවැඩක්නෑ.  රටවීරැ. අපේ.  සල්ලී. ඔක්කෝම. කපනවා,Transactions and Payments,2025-05-07T10:59:38Z,0.46132326126098633,0.0,0.32292628288269043
"bank serawangenma wedima rate thiyenne Mona bank ekeda video ekak danawada,please",Others,2025-05-25T01:47:31Z,0.04500569403171539,0.0,0.03150398582220077
"Ammo charterma bank eka....   
Balu wadamai karanne....",Trust and Security,2025-05-20T17:58:26Z,0.7215802669525146,0.0,0.5051061868667602
ලක්ෂ 5ක් තියෙනවා  මාසික පොලියට අවුරැදු 2කින් ගන්න හොදම බැංකුව මොකක්ද,Transactions and Payments,2025-05-19T09:53:29Z,0.5098807215690613,0.0,0.3569165050983429
ලක්ශ 20 ක් වගේ fixed deposit එකක් දානවා නම් ට්කක් හොද පොලියක් ගන්න මොකක්ද හොද ව්දිහ කියලා කියන්න පුළුවන්ද පොඩ්ඩක්,Transactions and Payments,2025-05-18T22:24:56Z,0.8062875866889954,1.0,0.8644013106822968
දෙන රේට් එක වගේ දෙගුණයක් කපනව අපි ණයක් ගත්තම…. ලංකාවෙ බැංකු නම් කායලා වැඩක් නෑ….,Loans and Credit Services,2025-05-18T04:31:39Z,0.6075708270072937,1.0,0.7252995789051055
Pples leasing එකේ 9% ක්‌ අව්රුද්දට දෙනවා,Digital Banking Experience,2025-05-18T02:05:31Z,0.5619210004806519,0.0,0.3933447003364563
රට ඉඳලා සල්ලි එව්වත් අවුරුද්දට ලක්ෂ දහඅටට වැඩි නම් මේගොල්ලෝ ටැක්ස් එක කපනවද,Transactions and Payments,2025-05-17T22:50:22Z,0.7744948267936707,0.0,0.5421463787555694
බැංකුවේ  සල්ලි වලට හැදෙන පොලියෙන් 10කපා ගන්නවාද,Transactions and Payments,2025-05-17T15:15:20Z,0.6698273420333862,0.0,0.46887913942337034
5 lksh wage masa 60 kata fd ek dala mase gane interest ek gannwnm 9% gane habenw ne ethakot api 1 year dala ganna interest ekt wada wasiyak thiynw ned,Loans and Credit Services,2025-05-17T14:55:07Z,0.24466572701931,1.0,0.471266008913517
Rs 25.000 k thebboth athe masekawa 15625 k keyala mona da ita passe keyapu dewal wenas nee,Digital Banking Experience,2025-05-17T14:22:46Z,0.6801385283470154,0.0,0.4760969698429107
ගනුදෙනු කරන්නෙ කවදද??,Others,2025-04-09T15:57:11Z,0.5658228397369385,0.0,0.3960759878158569
Fixed deposit eken loan ekak online  ganna heti video ekak krnnako sampath app eken,Transactions and Payments,2025-05-20T14:03:03Z,0.43519625067710876,1.0,0.6046373754739761
එකවේලේට ලුනු පැකට් එකයි පොල් ගෙඩියයි හාල් කිලෝ එකයි අනේ ,Transactions and Payments,2025-05-18T05:47:36Z,0.7945873737335205,0.0,0.5562111616134643
A/L bio කලේ ඒත් එක විශයක් fail අයියේ DBF එක කරල තියනවනම් මේකට යන්න පුලුවන් වෙයි ද?,Digital Banking Experience,2025-05-21T12:10:03Z,0.8843367695808411,0.0,0.6190357387065887
Connection තියනවා නම් එක සුදුසු කමක් වත් ඕනේ නෑ,Others,2025-05-19T14:37:07Z,0.1880374252796173,0.0,0.1316261976957321
මේකෙ තනිකරම වෙන්නෙ බොරුවක් මම ගිය පාර intake එකට දැම්ම exam ලිව්ව ඇක්වයිනාස් එකේ pass උනා ඊට පස්සෙ interview level 3 select උනා ඊට පස්සෙ head office එකේ තමයි ඒක තිබ්බෙ ඇතුලෙන් ඔක්කොම අරගෙන තියෙන්නෙ වැඩ කරන කවුරුත් ඉන්නවද අහනව හැමතැනම interview ඉවර වෙන්නත් කලින් exam ලියපු නැති අයට පත්වීම් දීලත් ඉවරයි ලැජ්ජයි සම්පත් බැංකුව ,Trust and Security,2025-05-19T09:09:34Z,0.48058757185935974,0.0,0.3364113003015518
