Comment,Date,language
සාමන්‍ය පෙලට S එකක් තිබිලා English diploma එකක් තියනවනම් බැන්ක් එකකට ඇප්ලයි කරන්න පුලුවන්ද,2025-05-20T07:34:56Z,si
Form fill karale email ekek avade,2025-05-13T07:50:12Z,other
English walata deweni para c ekak tiyen kenekta brida,2025-05-13T02:39:50Z,si
2025 අවුරුද්දේ කවද වගේ ගැසට් කරයිද,2025-05-12T15:44:50Z,si
Ganu lamaita puluwanda sir,2025-05-11T07:21:52Z,si
NVQ Sahathikayak onimada,2025-05-11T07:21:07Z,other
Sir meka apply krl khmd exam interview thiyenne kiyl danagann puluwnd,2025-05-10T16:22:06Z,si
Apply krnne kohomd,2025-05-09T14:28:13Z,si
Apply karama interview call karanawada?,2025-05-08T12:49:55Z,si
Math apply kara dn ,2025-05-05T08:07:13Z,other
වීඩියෝ වල සවුන්ඩ් මදි තා වැඩි කරන්න සවුන්ඩ්...,2025-05-04T13:28:28Z,si
Closing date kawadda,2025-05-04T03:58:49Z,other
Closing date kawadda,2025-05-04T03:58:49Z,other
Closing date kawadda,2025-05-04T03:58:49Z,other
Closing date kawadda,2025-05-04T03:58:49Z,other
දළ වශයෙන් salary එක කීයක් වගේ ගන්න පුලුවන් වෙයිද කියන්නකෝ,2025-05-03T13:33:54Z,si
ට්‍රෙනින් වලින්පස්සේ  ස්තිරවම බදවා ගක්නවද,2025-05-03T09:27:05Z,si
Apply krnne khmd,2025-05-02T15:19:51Z,si
ol maths s thiyenne   english B  A/L c 1 s2i apply krnn puluvnda plz reply.....,2025-05-02T13:58:51Z,si
English walata s beda,2025-05-02T11:21:28Z,other
Art kre matath hakida aply krnn,2025-05-02T05:55:49Z,si
Art krpu ayata puluwnda,2025-05-02T05:18:15Z,si
Salary eka mona wage weida ayye?,2025-05-02T02:15:15Z,si
Thanks ,2025-05-01T16:17:50Z,en
Transfer karpu ditels dilet karanne kohomada,2025-03-23T03:23:21Z,si
Annual Fee eka kiyada HNB app ekee..? Sampath Vishwa app eke Rs.700 ,2025-03-07T17:56:00Z,si
Ana maga a msg aka Anna na ne anith tika okkoma hari,2025-02-06T04:12:50Z,ta
