Comment,Aspect,Date
Therenne na,,2024-10-31T01:59:57Z
SOLO by HNB ,,2021-02-26T08:26:26Z
This will lead us to a new era...,,2021-02-20T14:24:13Z
Can you tell me how to find out if our phone is infected?,,2021-02-20T12:34:25Z
You tube free Nam upload freeda bro,,2021-02-20T05:47:49Z
good everyone need this in these days,,2021-02-20T01:40:43Z
".has anybody here watched ""Nervous so much"" on youtube ??? 🤣🤣🤣",,2021-02-19T21:45:45Z
Mge tec hero,,2021-02-19T19:46:41Z
"I don't like to know about mobile phones & technology .
Btw I love to listen  Chanux ayya's speaking way and love to watch his all videos ",,2021-02-19T19:02:12Z
Chargers?,,2021-02-19T18:36:24Z
Please make one of Birla campus also. Har jgh bs Chauras hi dikh rha birla ka kuch idea nai mil rha,,2024-08-28T16:16:02Z
What is the eligibility criteria for bsc ag mainrae 324/600 aa rahe h pcb group obc kya ho jayega ???,,2024-08-05T05:10:57Z
Yaha pe direct addmission mil jayega 12th ki percentage main ba political science hons ke kiye? And meri 96% aayi ha to kya mujhe addmission mil jayega,,2024-07-22T13:45:09Z
"Cuet ka exam dia hai 
Hnbgu dream University hai 
Kash ho jaye 🥺
Itep course ke liye",,2024-07-21T06:49:42Z
मेरा marks GT me 108 or language hindi me 146 hai मुझे यहाँ एडमिशन मिलेगा क्या catehory obc hai,,2024-07-09T06:50:27Z
"If you want hnbgu pyq check it out my uploaded shorts 
Thank you",,2024-05-06T07:57:34Z
Sir 2024 BPED Exam ki written or physical exam Kaisa hota h I mean Bht jada tough?,,2024-05-02T08:10:04Z
sirf reservation ke chode bhare pade h yaha,,2023-11-27T02:25:02Z
Does this university give their explanation and teaching process in English or is it only Hindi?,,2023-08-11T05:44:41Z
For more information you can watch this video. https://youtube.com/watch?v=gjPCzQaZOAQ&feature=sharea,,2023-08-10T08:24:22Z
For more information you can watch this video. https://youtube.com/watch?v=gjPCzQaZOAQ&feature=sharea,,2023-08-10T08:24:19Z
And bhai ab sare jgh ka date chla gya kya ??ab kahi cuet me central university me btech m addmission ni ho payega ??plzz help,,2023-08-10T07:47:25Z
"Hii..plzz reply
Bhai is university ki placements kyesi hai???btech cse course k liye kyesa hai ye university ???
And bhai kya ab bhi is university k liye apply kr skte h???",,2023-08-10T07:42:24Z
"Chemistry department of Srinagar is good????
I got selected in this university Srinagar campus",,2023-08-09T19:19:05Z
280 ewa can get admission in btech,,2023-08-01T10:26:56Z
Btech cse ka cutoff kitna hai college me,,2023-07-28T08:29:33Z
"How is the placement h
There rn?
Any chances it'll be improved in next 3-4 years?",,2023-07-15T10:51:33Z
Mera exam lga ha 2 july ko please ise college me me Lucknow se hu please koi yeh bta me yaha kaise pahuchu,,2023-06-27T12:54:43Z
ismy bsc nursing hai??,,2023-06-24T11:47:27Z
"Sir , b pharmacy me kitne score chahiye slection ke liye",,2023-06-24T02:53:08Z
Hi  suno cuet ka cut off kitna hai for this collage please reply,,2023-06-18T06:22:02Z
"B,tech cse ke liye kitna score chahiye cuet me please reply",,2023-06-09T11:47:46Z
Thankyou Universe I got selected for this college.........,,2023-05-27T05:53:06Z
Ye to Swarag hai CUET Aspirants ke liye ,,2023-03-28T11:25:56Z
Bhai btech cs ke liye shrinagar campus hai kya aur kitne percentile chahiye cuet me admission ke liye,,2023-03-23T15:51:10Z
Ma journalism mass communication is good or bad,,2022-11-14T10:11:56Z
"Hello
Mera selection hua h bsc core microbiology zoology and additional biochemistry me main campus Srinagar
 me 
Aap ye bta skte scope kya hai life sciences group ka
Yha oth",,2022-10-14T05:57:48Z
Bro mera selection hua h BTech lateral entry in cse to yhan se btech Krna sahi rhega ya nhi..?? Please suggest me honestly.,,2022-10-09T11:40:36Z
Bro 130/600 any chance in btech cuet diya h,,2022-10-01T03:16:00Z
"Bhai cuet me acche marks hai kya 
Btech CSE me admission Karna worth rahega  or graphic era me le Lu .
Kyuki mujhe baad me mtech Karna
Hai",,2022-09-19T10:00:31Z
Without card? How,,2024-12-26T21:05:05Z
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Thanks,,2024-11-16T12:43:57Z
Alert number change please tell me bro,,2024-02-24T10:22:51Z
Thanks bro,,2023-01-02T14:21:28Z
Super sharing,,2022-05-25T06:50:41Z
Super definition thanks,,2021-12-04T14:23:23Z
"thanks  bro , how to delete transactions  histroy?",,2021-11-11T14:49:01Z
Clear & Detail information.,,2021-10-25T12:11:04Z
Card illena active panne mudiyatha bro,,2021-09-01T01:14:45Z
How to change my phone number,,2021-07-09T14:44:20Z
"Good app
Very clear explanation 
Why don't you try @solo by hnb app",,2021-06-06T06:40:18Z
"Very useful, and a well narrated update",,2021-05-26T05:18:33Z
"Super Bro 
Thank you ",,2021-05-22T20:22:39Z
Also boc good,,2021-05-22T20:13:25Z
Bro Iq opinion support ahutha,,2021-05-22T18:11:08Z
"I don't miss your videos 🤗
I like your videos
Good information for us",,2021-05-22T17:11:08Z
New Background with pc & Video resolution also good.,,2021-05-22T15:54:05Z
"Video Pudichi Irrutha Like Share Pannuga 
Travel Tech Family..",,2021-05-22T15:00:02Z
Thankd,,2025-04-05T07:27:01Z
Thanks,,2025-04-04T06:42:34Z
Best work brother,,2024-03-24T02:56:08Z
Thank you ,,2024-02-03T08:45:18Z
Thankyou  i do it,,2023-11-21T19:35:20Z
thank you brother ,,2024-10-27T04:00:18Z
thank you,,2024-07-07T22:28:52Z
 thanks ,,2023-11-06T05:57:14Z
Thank you so much brother ,,2023-11-05T19:21:04Z
Reply soon,,2022-12-02T07:56:50Z
Thank you so mush...,,2022-07-08T18:47:38Z
View and transaction   the choice not coming what problem,,2022-07-05T15:36:36Z
"thanks bro  ,how to delete transaction history ??",,2021-11-11T14:46:16Z
Thank you so much bro...,,2021-10-12T07:44:07Z
Super. Thanks please SOLO,,2021-10-03T15:47:48Z
"It's great initiative.
It's necessary to our clients nowadays.
Keep doing more video.",,2021-06-27T13:12:49Z
"Its been clearly explained..
Everyone could easily understand the usage of the app ",,2021-06-27T09:59:17Z
THANX sudu,,2024-11-27T13:51:13Z
Thank you aiye,,2024-04-28T06:13:32Z
Thank q ,,2024-04-25T05:37:49Z
very helpful,,2024-02-26T05:32:29Z
Thanks ,,2022-07-15T18:59:35Z
Thank you ,,2022-07-08T12:49:34Z
Nice sharing,,2021-10-23T09:52:00Z
