comment,aspect,published_at
Hello mata කියන්න පුළුවන් da man app eka gaththa eke ඉස්සර welama nick name eka ඊළඟට password eka itapassee illanawa terminal id කියලා ekak ekata mokadda dhanne කියලා kiyanawada man inne rata ane loku udawwak,,2023-10-06T19:44:05Z
Aiye solo app eken hnb නොවන wenath banku ginumakata සල්ලි yawaddi අමතර ganak ayawenawada,,2022-08-13T11:52:06Z
Oyage අත විතරයි පෙන්නේ phone eka penne nh,,2021-09-18T08:08:28Z
සුපිරි ❤,,2021-02-24T17:12:18Z
Wireless headset ගැන විඩියෝ එකක් කරන්න පුළුවන් ද,,2021-02-24T01:59:37Z
Chanux academy eke programming nawaththapu තැනින් patan ganna,,2021-02-23T04:58:40Z
Hi අයියා,,2021-02-22T15:39:22Z
මමත් use කරනවා. පට්ට ලේසි. (Example-SLT Bill එකේ QR එක scan කරාම ගානත් auto වැටෙනවා. Finger print එක දෙන්න විතරයි තියෙන්නෙ. )👍👍👍👍,,2021-02-22T15:03:12Z
අයියේ ඔයාට පුලුවන්නම්. පෝන් එකේ ඩිස්පෙලෙ එක ටිවි එකට ගන්න පුලුවන් විදිහේ විඩියෝ එකක් කරන්නකෝ. දැන් තියෙන ඔනම පෝන් එක්කට සෙට් වෙන ඔනම ටීවි එක්කට සෙට් වෙන කේබල් එකක් කියන්න. USB  නැතුව,,2021-02-22T02:27:17Z
වෙන bankවල trance and bill paymentවල දී feeඑකක් add වෙනවා ද,,2021-02-22T01:08:36Z
ඉංග්‍රීසි මුල සිට ම ඉගෙනගන්න අප හා එක්වන්න,,2021-02-21T18:39:54Z
අය්යෙ studio tour එකක් දෙන්නකො.studio එකක් හදන්න ideas ගන්න ඕන.,,2021-02-21T11:43:25Z
Niyamai  chanux අයියේ,,2021-02-21T06:28:11Z
පට්ට,,2021-02-20T15:56:33Z
පට්ට!!!,,2021-02-20T11:53:19Z
නියමයි,,2021-02-20T09:49:44Z
Pubg ගහන අය like එකක් දාලා ID එක දීලා යන්න කෝ,,2021-02-20T09:39:24Z
heart❤ එකක් දැන්වත් pls දාන්නko chanux aiye,,2021-02-20T08:39:24Z
2021 අලුත්ම සින්දුව මෙන්න https://youtu.be/ZrjhfHH0hzg,,2021-02-20T07:55:44Z
අනේ  DJI  Mavic mini 2  ගැන  unboxing  එකක්  ගේන්න්කෝ,,2021-02-20T07:36:21Z
Keep it up superb chanux අයියේ,,2021-02-20T05:49:05Z
මම මේක භාවිතා කරනවා ගොඩක් හොඳයි .,,2021-02-20T05:42:53Z
එල කොල්ලෝ 😁,,2021-02-20T05:08:51Z
"නියමයි,ගොඩාක් වටිනවා.👍👍",,2021-02-20T04:23:35Z
අදත් ආවා,,2021-02-20T03:48:36Z
සබ්ස්ක්රය්බ්  1000   ගන්න  විදිය   දාන්න   වීඩියෝ 1  ඕනි,,2021-02-20T03:19:35Z
එක වැදගත් නෑ මගේ වයස අවුරුදු දාහතරයි,,2021-02-20T03:13:44Z
"Apahu"" sinhala geek show ekata එහෙමත් නැත්තං chanux bro youtube chanel ekata kiyana kallata"" කැමති aya ko",,2021-02-20T02:47:49Z
Video එක නම්. හොදයි අය්යේ මේ. ගේම් එක ගැන video එකක් කරන්නකෝ. Cutie garden,,2021-02-20T02:25:51Z
ඕකෙන්ම bank account ekaka හදාගන්න පුළුවන් ද,,2021-02-20T01:37:19Z
පුලුවන් අය මට subscribe 500ක් ගන්න උදව් කරන්න මමත් අවංකවම උදව් කරනවා,,2021-02-20T01:15:39Z
"*තෙරුවන්සරණයි! යාලුවනේ😍*

*තවත් කෙනෙක්ගේ දියුණුවක් දැකලා හදවතින්ම සතුටු වෙන්න පුලුවන් ආදරණීය හදවත්වලින් ඉල්ලන අහිංසක ඉල්ලිමක්😍*

*නිදහසේ අහන්න පුලුවන් ලස්සන සිංදු ටිකක් මගේ චැනල් එකේ තියෙනවා, ඇවිත් බලන්න, හොදයිනම්  සහයෝගයක් දෙන්න.සහයෝගය ඕනී යාලුවොත් එන්න comment එකක් දාන්න*

*තෙරුවන්සරණයි! 
පරිස්සමෙන් ඉන්න*.....💚🙏👌",,2021-02-19T19:01:43Z
වැඩිම like ප්‍රමාණයක් තියෙන comment එකක් සහ chanux අයියා ගෙන් love එකක් එකක් ගන්න බලාගෙන ඉන්න අය කවුද ? 😏,,2021-02-19T17:56:41Z
සුපිරි සුපිරි 👍👍👍,,2021-02-19T17:34:53Z
"එල එල 👍 chanux ❤️❤️❤️❤️
👇👉👍✨️",,2021-02-19T17:33:52Z
කෝ බලන්න හැමදාම chanux ගේ videos බලන කට්ටිය🙋❤️,,2021-02-19T17:23:56Z
නිදාගන්න හැදුවා විතරයි අනෙ,,2021-02-19T17:20:39Z
තේ එකක් බිස්කට් එකක් අරගෙන ලෑස්ති වෙන්න දෙයක් නෑ රෑට කාලා ඉන්නේ. 🤣🤣🤣🤣🤣💥,,2021-02-19T17:10:13Z
අයියා huawei celia  assistant gana video ekak oni,,2021-02-19T17:09:28Z
golden button කපරක්කුඉ පරක්කුයි කියන කට්ටිය  like එකක් දාගෙනයන්න,,2021-02-19T16:55:41Z
ජයවේවා ❤,,2021-02-19T16:53:13Z
"😍😷👌💖⛪🙏🇱🇰💐🥂.
අහලා බලන්න ඇසිපියන් 👌🏼🎶🎶
https://youtu.be/ORtzCwgcvE0
සම්පූර්ණ ගීතයම රසවිඳ, හොඳයි නම් channel එකත් sub කරලා ගීතයේ හොඳ නරක comment එකකින් කියන්න 😇🙏🏼
ඔබට ජය ✊🏽✌🏼✌🏼🎶🎶🎺🎷🎻",,2021-02-19T16:52:55Z
