Comment,Aspect,Date
Transfer karpu ditels dilet karanne kohomada,,2025-03-23T03:23:21Z
Hnb app eken kiparak dawasata transfer karnna puluwanda,,2025-01-28T06:58:05Z
Transer karapu detail ayin karanna widiyak nadda,,2024-11-25T17:12:07Z
Nola Brooks,,2024-10-15T08:52:59Z
Brown Eric Lee Karen Hernandez William,,2024-09-24T07:02:31Z
Good job,,2024-07-26T12:05:02Z
"Ane mata kiyannako HNB eke account eka haduwama eyala ganak kapaganwada mage 600 mulin kapila thibba passe me iye vage rs 40 kapila thibba ay ee..
Ane danna kawurumahari mata kiyannako",,2024-10-21T04:55:19Z
කවදා එකක් ද මේ,,2024-10-04T09:50:39Z
 10        ,,2024-09-29T18:17:01Z
"Redda,bankuwala Salli daana gon me kaale nehaban ",,2024-08-27T11:34:51Z
Estuthi oba tumata danuwath kalata,,2024-08-24T13:58:40Z
Usernema eka nathi unama hoyaganne kohomada,,2024-09-29T14:43:19Z
46662 Yundt Neck,,2024-09-23T05:54:47Z
Oya okkotama service chage ganwa sali thama okkoma,,2024-05-26T09:10:35Z
Meken wena account ekakta danna berida salli,,2023-10-21T12:22:50Z
1xbet dnn brida,,2023-07-26T06:06:14Z
Mata oyage whatsApp number eka oni,,2023-03-17T11:16:36Z
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,,2023-02-19T12:21:14Z
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,,2023-02-01T04:02:14Z
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,,2022-11-16T16:55:46Z
Aiye meke dialog home broadband gewanna puluwanda,,2022-07-27T02:15:23Z
Api karana transfer wlt ganak kpnwda..?,,2021-12-30T06:44:57Z
It's excellent,,2021-11-05T08:14:30Z
Oyage අත විතරයි පෙන්නේ phone eka penne nh,,2021-09-18T08:08:28Z
5.35 Mona pin tha add karanda one,,2021-09-07T09:03:03Z
Moeny transfer karanna pulivamda,,2021-09-01T01:21:15Z
Wenath bank akakata gewanne kohomada,,2021-08-25T09:26:50Z
"mama solo app eka dagattha, mata eka cvv eka mata maga card eka last anka 3n gahanna denne nane, ekata mokada keranne, mokakada e Era eka ???",,2021-08-04T17:03:02Z
Bro me app ekata txt tiyanawadha?,,2021-07-06T16:43:54Z
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.,,2021-06-05T05:37:54Z
