Comment,Aspect,Date,brand,trigger_keywords
English walata deweni para c ekak tiyen kenekta brida,,2025-05-13T02:39:50Z,Hatton National Bank,['HNB']
Ganu lamaita puluwanda sir,,2025-05-11T07:21:52Z,Hatton National Bank,['HNB']
Sir meka apply krl khmd exam interview thiyenne kiyl danagann puluwnd,,2025-05-10T16:22:06Z,Hatton National Bank,['HNB']
Apply karama interview call karanawada?,,2025-05-08T12:49:55Z,Hatton National Bank,['HNB']
Apply krnne khmd,,2025-05-02T15:19:51Z,Hatton National Bank,['HNB']
ol maths s thiyenne   english B  A/L c 1 s2i apply krnn puluvnda plz reply.....,,2025-05-02T13:58:51Z,Hatton National Bank,['HNB']
Art kre matath hakida aply krnn,,2025-05-02T05:55:49Z,Hatton National Bank,['HNB']
Art krpu ayata puluwnda,,2025-05-02T05:18:15Z,Hatton National Bank,['HNB']
Salary eka mona wage weida ayye?,,2025-05-02T02:15:15Z,Hatton National Bank,['HNB']
Transfer karpu ditels dilet karanne kohomada,,2025-03-23T03:23:21Z,Hatton National Bank,['HNB']
Hnb app eken kiparak dawasata transfer karnna puluwanda,,2025-01-28T06:58:05Z,Hatton National Bank,['HNB']
Transer karapu detail ayin karanna widiyak nadda,,2024-11-25T17:12:07Z,Hatton National Bank,['HNB']
කාලය මදිනෙ මට මෙක එනකොට එක දවසයිනෙ,,2025-05-19T05:15:01Z,Hatton National Bank,['HNB']
Marry karapu ayata puluwanda,,2025-05-19T01:21:33Z,Hatton National Bank,['HNB']
Sir boc traning staff assistant  exam  ekata ena past paper gena video ekk gennako,,2025-05-19T01:03:06Z,Hatton National Bank,['HNB']
Apply link ekak nedda?,,2025-05-19T00:46:52Z,Hatton National Bank,['HNB']
Internship yanna berid 6 months walin ain wenna puluwnd ,,2025-05-18T17:44:26Z,Hatton National Bank,['HNB']
Island wideද?,,2025-05-18T16:25:29Z,Hatton National Bank,['HNB']
H n b pinas nambar akak denna ko,,2025-01-20T05:35:33Z,Hatton National Bank,['HNB']
"Ane mata kiyannako HNB eke account eka haduwama eyala ganak kapaganwada mage 600 mulin kapila thibba passe me iye vage rs 40 kapila thibba ay ee..
Ane danna kawurumahari mata kiyannako",,2024-10-21T04:55:19Z,Hatton National Bank,['HNB']
කවදා එකක් ද මේ,,2024-10-04T09:50:39Z,Hatton National Bank,['HNB']
"Redda,bankuwala Salli daana gon me kaale nehaban ",,2024-08-27T11:34:51Z,Hatton National Bank,['HNB']
Estuthi oba tumata danuwath kalata,,2024-08-24T13:58:40Z,Hatton National Bank,['HNB']
Usernema eka nathi unama hoyaganne kohomada,,2024-09-29T14:43:19Z,Hatton National Bank,['HNB']
Oya okkotama service chage ganwa sali thama okkoma,,2024-05-26T09:10:35Z,Hatton National Bank,['HNB']
Meken wena account ekakta danna berida salli,,2023-10-21T12:22:50Z,Hatton National Bank,['HNB']
1xbet dnn brida,,2023-07-26T06:06:14Z,Hatton National Bank,['HNB']
Mata oyage whatsApp number eka oni,,2023-03-17T11:16:36Z,Hatton National Bank,['HNB']
Meke  pin  ekk  illnwne ekt  mokd  den  oni  kiynwd,,2023-02-19T12:21:14Z,Hatton National Bank,['HNB']
Ayye dan update godak thiyanawa aluth video ekak gennako ewath ekka,,2023-02-01T04:02:14Z,Hatton National Bank,['HNB']
Ayye app ek mulinma hadnna hadaddi terminal code kiyala code ekk illanawane ek mokdda,,2022-11-16T16:55:46Z,Hatton National Bank,['HNB']
Aiye meke dialog home broadband gewanna puluwanda,,2022-07-27T02:15:23Z,Hatton National Bank,['HNB']
Api karana transfer wlt ganak kpnwda..?,,2021-12-30T06:44:57Z,Hatton National Bank,['HNB']
Oyage අත විතරයි පෙන්නේ phone eka penne nh,,2021-09-18T08:08:28Z,Hatton National Bank,['HNB']
Moeny transfer karanna pulivamda,,2021-09-01T01:21:15Z,Hatton National Bank,['HNB']
"mama solo app eka dagattha, mata eka cvv eka mata maga card eka last anka 3n gahanna denne nane, ekata mokada keranne, mokakada e Era eka ???",,2021-08-04T17:03:02Z,Hatton National Bank,['HNB']
Bro me app ekata txt tiyanawadha?,,2021-07-06T16:43:54Z,Hatton National Bank,['HNB']
Me welawe hetiyta loku udawwk una.me video eka.thank you so much.,,2021-06-05T05:37:54Z,Hatton National Bank,['HNB']
