Sentence,entities
HNB FINANCE has been an immense strength to our lives HNB FINANCE has been our financial partner for over years now Therefore we have been able do business according to so enjoy the benefit of obtaining money for the business while saving As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed,"[['HNB FINANCE', 'ORG', 0, 11], ['HNB FINANCE', 'ORG', 54, 65], ['Swashakthi Savings', 'PRODUCT', 294, 312]]"
HNB FINANCE clinches Bronze at TAGS Awards,"[['HNB FINANCE', 'ORG', 0, 11]]"
HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman prev next,"[['HNB FINANCE', 'ORG', 0, 11], ['Anura Pathirage to Board', 'ORG', 21, 45], ['HNB FINANCE PLC', 'ORG', 59, 74], ['Rajive Dissanayake', 'PERSON', 87, 105], ['HNB', 'ORG', 118, 121], ['TAGS Awards', 'PRODUCT', 149, 160], ['Samarasinghe to Board', 'ORG', 192, 213], ['Anura Pathirage to Board', 'ORG', 248, 272], ['HNB FINANCE PLC', 'ORG', 286, 301], ['Rajive Dissanayake', 'PERSON', 314, 332], ['HNB', 'ORG', 345, 348], ['TAGS Awards', 'PRODUCT', 376, 387], ['Samarasinghe to Board', 'ORG', 419, 440], ['Anura Pathirage to Board', 'ORG', 475, 499], ['HNB FINANCE PLC', 'ORG', 513, 528], ['Rajive Dissanayake', 'PERSON', 541, 559]]"
Services That Offer You Convenience and Flexibility,[]
Success Stories Our keen focus on entrepreneurs across the country enables us to boost SME SSE communities to reach their full potential,"[['SME', 'ORG', 87, 90], ['SSE', 'ORG', 91, 94]]"
News Updates Read our latest news and updates HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman prev next,"[['News Updates Read', 'PRODUCT', 0, 17], ['HNB', 'ORG', 46, 49], ['Anura Pathirage to Board', 'ORG', 67, 91], ['HNB FINANCE PLC', 'ORG', 105, 120], ['Rajive Dissanayake', 'PERSON', 133, 151], ['HNB', 'ORG', 164, 167], ['TAGS Awards', 'PRODUCT', 195, 206], ['Samarasinghe to Board', 'ORG', 238, 259], ['Anura Pathirage to Board', 'ORG', 294, 318], ['HNB FINANCE PLC', 'ORG', 332, 347], ['Rajive Dissanayake', 'PERSON', 360, 378], ['HNB', 'ORG', 391, 394], ['TAGS Awards', 'PRODUCT', 422, 433], ['Samarasinghe to Board', 'ORG', 465, 486], ['Anura Pathirage to Board', 'ORG', 521, 545], ['HNB FINANCE PLC', 'ORG', 559, 574], ['Rajive Dissanayake', 'PERSON', 587, 605]]"
HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors,"[['HNB FINANCE', 'ORG', 0, 11], ['Samarasinghe to Board', 'ORG', 31, 52]]"
Success Stories Our keen focus on entrepreneurs across the country enables us to boost SME SSE communities to reach their full potential HNB FINANCE has been an immense strength to our lives HNB FINANCE has been our financial partner for over years now Therefore we have been able do business according to so enjoy the benefit of obtaining money for the business while saving As was able to get loan without any guarantors through Swashakthi Savings was able to easily get the money needed,"[['SME', 'ORG', 87, 90], ['SSE', 'ORG', 91, 94], ['HNB FINANCE', 'ORG', 137, 148], ['HNB FINANCE', 'ORG', 191, 202], ['Swashakthi Savings', 'PRODUCT', 431, 449]]"
HNB FINANCE has been an immense strength to our lives HNB FINANCE has been our financial partner for over years now Therefore we have been able do business according to so,"[['HNB FINANCE', 'ORG', 0, 11], ['HNB FINANCE', 'ORG', 54, 65]]"
HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman HNB FINANCE clinches Bronze at TAGS Awards HNB FINANCE appoints Dr Prasad Samarasinghe to Board of Directors HNB FINANCE appoints Anura Pathirage to Board of Directors HNB FINANCE PLC appoints Mr Rajive Dissanayake as Chairman,"[['HNB FINANCE', 'ORG', 0, 11], ['Anura Pathirage to Board', 'ORG', 21, 45], ['HNB FINANCE PLC', 'ORG', 59, 74], ['Rajive Dissanayake', 'PERSON', 87, 105], ['HNB', 'ORG', 118, 121], ['TAGS Awards', 'PRODUCT', 149, 160], ['Samarasinghe to Board', 'ORG', 192, 213], ['Anura Pathirage to Board', 'ORG', 248, 272], ['HNB FINANCE PLC', 'ORG', 286, 301], ['Rajive Dissanayake', 'PERSON', 314, 332], ['HNB', 'ORG', 345, 348], ['TAGS Awards', 'PRODUCT', 376, 387], ['Samarasinghe to Board', 'ORG', 419, 440], ['Anura Pathirage to Board', 'ORG', 475, 499], ['HNB FINANCE PLC', 'ORG', 513, 528], ['Rajive Dissanayake', 'PERSON', 541, 559]]"
