video_id,title,description,url,likes,views,comment_count,published_at,hashtags,keyword_hits
7-X8Sp7oqPc,Bank of Ceylon Trainee Staff Assistant Job Vacancies 2025 | How to Apply Step-by-Step (BOC Jobs),"How to apply BOC trainee staff assistant : https://youtu.be/41XqUV4eOQM

📢 Bank of Ceylon (BOC) has officially announced Trainee Staff Assistant job vacancies for 2025!
This is a great opportunity for school leavers, A/L qualified students, and freshers looking to start a career in banking.

Chat group link : https://t.me/+tWjxj_uNSR00MTBl
BOC career site link : https://www.boc.lk/careers

In this video, we explain:
✅ Eligibility criteria
✅ Educational qualifications required
✅ Age limit
✅ How to apply online
✅ Important application deadlines
✅ Tips to get selected

Whether you're from Colombo, Kandy, Galle, Jaffna, or any district, these island-wide vacancies are open to all qualified candidates.

🔔 Subscribe to KK Academy SL for daily job updates and government/private sector opportunities.
📩 Drop your questions in the comments – we’re here to help!

✅ Hashtags:
#BankOfCeylonJobs #BOCTraineeStaffAssistant #BOCJobs2025 #BOCRecruitment #SriLankaBankJobs #KKAcademySL #TraineeBankJobs #BOCApplicationGuide #GovtBankJobs2025 #BOCJobVacancy",https://www.youtube.com/watch?v=7-X8Sp7oqPc,527,26976,161,2025-05-10T12:49:02Z,"#BankOfCeylonJobs, #BOCTraineeStaffAssistant, #BOCJobs2025, #BOCRecruitment, #SriLankaBankJobs, #KKAcademySL, #TraineeBankJobs, #BOCApplicationGuide, #GovtBankJobs2025, #BOCJobVacancy",2
fIAz3rwdLb4,Bank of Ceylon (BOC) Job Vacancies 2025 | New Bank Job Vacancies 2025 | Trainee Staff Assistant,"Hello friends,
New Bank Job Vacancies 2025 | New Government Jobs in Sri Lanka 2025 | Rajaye rakiya | Rajaye job

👉අයදුම් කිරීම - https://www.rajayejobs.com/2025/05/trainee-staff-assistant-tsa-bank-of.html

👉Whats app Group (rajayejobs.com) - https://www.whatsapp.com/channel/0029Va4FNDmLSmba3CPPNL3o

👉Whats app Group (colombojobs.lk) - https://whatsapp.com/channel/0029VakVg7i0LKZ584tFyS0B

This Video includes,
How to apply for Bank of Ceylon (BOC) Job Vacancies 2025 
New Government Job Vacancies in Sri Lanka 2025
Trainee Staff Assistant (TSA) Job Vacancies 2025

My social media - 

රජයේ රැකියා (rajayejobs.com) :-

➤ Fb page - https://www.facebook.com/gazettejob
➤ Fb group - https://www.facebook.com/groups/gazettejob
➤ Messenger - https://m.me/j/AbbhQWcCGkiDo3xA/
➤ Telegram - https://t.me/rajayerakiya
➤ Whatsapp - ⁦https://www.whatsapp.com/channel/0029Va4FNDmLSmba3CPPNL3o

පුද්ගලික අංශයේ රැකියා (colombojobs.lk) :-

➤ Fb page - https://www.facebook.com/colombojob
➤ Fb group - https://www.facebook.com/groups/gazettejob
➤ Messenger - https://m.me/j/AbbwyThHiJnyc3RV/
➤ Telegram - https://t.me/colombojob
➤ Whatsapp - ⁦https://whatsapp.com/channel/0029VakVg7i0LKZ584tFyS0B

#Jobs #bank  #internship

Keywords -
Jobs, Vacancy, Bank of Ceylon (BOC) Jobs,BOC Jobs, Trainee Staff Assistant (TSA), Ministry of Finance, Bank jobs, Banking Assistant, New Jobs, Jobs in Sri Lanka, Banking Associate, Bank Internship vacancies, Online application 2025, Commercial bank, Sampath bank, NDB bank, Dfcc Bank Government job application 2025, Driver Jobs, Hospital jobs, New job vacancies 2025, Management Assistants, රජයේ රැකියා, rajaye rakiya, Rajayejobs, karyala sahayaka, management assistant exam past papers in Sinhala, petroleum vacancies 2025, Management Assistant job vacancies",https://www.youtube.com/watch?v=fIAz3rwdLb4,362,32097,76,2025-05-14T12:29:16Z,"#Jobs, #bank, #internship",2
Ta83I8rl7bs,BOC B App / How To Setup BOC B App In Your Mobile Phone,"how to setup boc mobile banking app and how to use boc b app

#howto 
#setup
#bocbapp",https://www.youtube.com/watch?v=Ta83I8rl7bs,5019,437675,316,2018-06-12T16:05:35Z,"#howto, #setup, #bocbapp",1
XbCQpOsTFD0,Introducing the 100 Day Investment Fixed Deposit from Bank of Ceylon,"Introducing the 100 Day Investment fixed deposit from Bank of Ceylon!
Now experience the trust and security of a state bank while obtaining an interest rate of 17.5% per annum (A.E.R. 18.67%) for your deposit.

Visit your nearest Bank of Ceylon branch or contact us on 1975 or log onto https://bit.ly/3CZiiJK for more information.

#BOC #BankersToTheNation #BOC100DayInvestment",https://www.youtube.com/watch?v=XbCQpOsTFD0,11,2192,0,2022-05-05T09:03:00Z,"#BOC, #BankersToTheNation, #BOC100DayInvestment",1
kNK0xR6Ki2E,BOC Trainee Jobs | Shan Creation | Bank Jobs | Bank of Ceylon | Government Bank Jobs,,https://www.youtube.com/watch?v=kNK0xR6Ki2E,2428,165021,52,2024-07-14T13:44:19Z,,2
2Xctw4aHt7o,Bank of Ceylon is Sri Lanka's No. 1 Brand for the ninth consecutive year!,,https://www.youtube.com/watch?v=2Xctw4aHt7o,11,2608,0,2017-05-22T09:42:20Z,,1
QQzidsBJq8o,Bank of Ceylon - 83 Years of Pride,"Celebrating 83 years of dedicated service to the nation as Sri Lanka's number one banking brand, we at Bank of Ceylon take this opportunity to greatly appreciate our loyal customers, dedicated staff as well as our other stakeholders for their unwavering support and guidance throughout our 83 years of service to the nation.

#BOC #BankersToTheNation #83YearsofPride",https://www.youtube.com/watch?v=QQzidsBJq8o,3,721,0,2022-08-01T08:26:24Z,"#BOC, #BankersToTheNation, #83YearsofPride",1
3t6BKygob0I,Bank of Ceylon Export Circle (English),"Bank of Ceylon offers all the financial support and services you need to make your dream of conquering international markets with your export business, a reality.
Join the BOC Export Circle today and take your businesses to the world!

Visit your nearest Bank of Ceylon branch or contact our 24-hour customer service hotline on 1975 for more information.

#BOC #BankersToTheNation #BOCExportCircle #TheWorldAwaitsYou",https://www.youtube.com/watch?v=3t6BKygob0I,9,832,1,2021-09-15T07:21:14Z,"#BOC, #BankersToTheNation, #BOCExportCircle, #TheWorldAwaitsYou",1
_Zj5nAWebE0,Make your dream home a reality with the Bank of Ceylon Housing Loan Scheme.,"Make your dream home a reality with the Bank of Ceylon Housing Loan Scheme.
Benefit from a streamlined approval process within 14 working days and enjoy attractive annual interest rates starting from 10%.

For more details, visit your nearest Bank of Ceylon branch or click the link below:
 https://www.boc.lk/m/boc-housing-loan-scheme

Terms and conditions apply.

#BOC #BankersToTheNation #HousingLoan",https://www.youtube.com/watch?v=_Zj5nAWebE0,1,39,0,2025-05-22T09:17:19Z,"#BOC, #BankersToTheNation, #HousingLoan",1
ohT_7Tx0hwU,"Bank of Ceylon, truly the No. 1 Bank in Sri Lanka",,https://www.youtube.com/watch?v=ohT_7Tx0hwU,3,271,0,2017-12-22T12:00:56Z,,1
